Name,Title,Company,LinkedIn Search URL,Connection Request (Copy This),Char Count,Follow-up DM (Copy This),Personalization Score
Sarah Chen,Senior Financial Advisor,Bay Area Wealth Management,https://www.linkedin.com/search/results/people/?keywords=Sarah%20Chen%20Bay Area Wealth Management,Hi Sarah - Building AI that matches retirement planning advisors with qualified tech exec leads in SF. Thought you might be interested in better-fit prospects?,159,"Hi Sarah,

Thanks for connecting! I noticed you specialize in retirement planning for tech executives – with 15+ years in the Bay Area market, you must have incredible insights into the unique challenges that demographic faces with their equity comp and early retirement goals.

I'm reaching out because we're launching I MATCH this week with 10 carefully selected SF advisors. We use AI to connect clients with advisors based on actual fit – their specific needs, values, and financial situation matched to your exact expertise and approach.

What makes us different: we only charge a 20% success fee when you actually close a client. No upfront costs, no subscription fees. Our AI vetting means you're only spending time with prospects who are genuinely aligned with what you do best – retirement planning for tech executives in your case.

We're intentionally keeping this first cohort small to ensure quality and give our founding advisors the best experience. Given your specialty and track record, I think you'd be a perfect fit.

Would you be open to a quick 15-minute call this week to see if it makes sense? You can also check out more details here: http://198.54.123.234:8401/providers.html

Either way, looking forward to staying connected.

Best,
James",10/10
Michael Rodriguez,Financial Planner,Golden Gate Financial,https://www.linkedin.com/search/results/people/?keywords=Michael%20Rodriguez%20Golden Gate Financial,Hi Michael - Building AI matching for advisors in tax-efficient wealth strategies. Helping SF planners connect with pre-qualified prospects. Worth a quick chat?,160,"Hey Michael,

Thanks for connecting! I saw you made the leap from tech CFO to advising executives—that's exactly the kind of real-world experience clients are looking for, especially in tax-efficient wealth strategies.

I'm reaching out because we're launching I MATCH this week with 10 select SF advisors. It's an AI platform that matches financial advisors with clients based on specialty fit, not just ZIP codes. Think of it as quality over quantity—clients who actually need your specific expertise in executive compensation and tax strategies.

What makes this different: our AI evaluates client situations and matches them with advisors who've solved similar problems. For you, that means executives dealing with stock options, equity comp, and complex tax situations. We only charge a 20% success fee when you close a client, so there's zero upfront risk.

Since you're working with a niche clientele (former tech executives), having an intelligent matching system could save you tons of qualification time while bringing in better-fit prospects.

I'd love to show you how it works—takes about 15 minutes. Here's more info on the advisor side: http://198.54.123.234:8401/providers.html

Would you be open to a quick call this week to see if it's a fit?

Best,
James",10/10
Jennifer Kim,Wealth Advisor,SF Financial Partners,https://www.linkedin.com/search/results/people/?keywords=Jennifer%20Kim%20SF Financial Partners,Hi Jennifer - Building AI matching for wealth advisors specializing in equity comp. Helping SF advisors connect with pre-qualified clients. Worth a quick chat?,159,"Hi Jennifer,

Thanks for connecting! I noticed your specialty in equity compensation planning – that's such a valuable niche, especially here in SF where so many professionals are trying to optimize their RSUs and stock options but don't know where to start.

I'm reaching out because we're launching I MATCH this week with 10 San Francisco advisors, and your expertise in equity comp seemed like a perfect fit for what we're building.

Quick context: I MATCH uses AI to connect advisors with clients who actually need their specific expertise – no more generic leads. Instead of the typical 40-50% referral fees, we only charge 20% success fee when a client actually engages. The AI matching means higher conversion rates because you're only talking to prospects who have the exact financial situations you specialize in (RSUs, stock options, etc.).

We're intentionally keeping this launch small to ensure quality, and I thought your equity compensation focus would resonate really well with the tech professionals in our pipeline.

Would you be open to a quick 15-minute call this week to walk through how it works? You can also check out more details here: http://198.54.123.234:8401/providers.html

Either way, looking forward to staying connected.

Best,
James",10/10
David Thompson,Senior Wealth Manager,Pacific Wealth Advisors,https://www.linkedin.com/search/results/people/?keywords=David%20Thompson%20Pacific Wealth Advisors,Hi David - Saw your estate planning focus at Pacific Wealth Advisors. Built AI matching that connects advisors with pre-qualified legacy wealth prospects. Worth a quick chat?,174,"Hi David,

Thanks for connecting! I noticed your focus on estate planning and legacy wealth for high-net-worth families – after 20+ years, you've clearly built something special at Pacific Wealth Advisors.

I wanted to follow up on why I reached out. I MATCH uses AI to connect advisors like you with clients who actually fit your expertise. No more generic leads that waste your time – our system matches based on wealth level, specific needs (like estate planning), and advisor specialty.

Here's what makes us different: you only pay a 20% success fee when a client actually engages. No upfront costs, no monthly subscriptions. The AI does the heavy lifting to ensure quality matches, so you spend time with prospects who genuinely need what you offer.

We're launching with just 10 select advisors in the SF Bay Area this week, and I think your estate planning expertise would be perfect for the clients we're seeing. The goal is to keep it exclusive so each advisor gets real attention and quality matches.

Would you be open to a quick 15-minute call to see if it's a fit? You can also check out more details here: http://198.54.123.234:8401/providers.html

Either way, happy to be connected.

Best,
James",10/10
Lisa Patel,Financial Consultant,Silicon Valley Financial Group,https://www.linkedin.com/search/results/people/?keywords=Lisa%20Patel%20Silicon Valley Financial Group,Hi Lisa - Building AI matching for advisors focused on startup founders/employees. Better client fit = higher conversion. Worth exploring?,138,"Hi Lisa,

Thanks for connecting! I noticed your background in VC before moving into financial consulting – that unique perspective must be incredibly valuable when working with startup founders navigating liquidity events and equity compensation.

I'm reaching out because I MATCH is an AI-powered platform that connects financial advisors with pre-qualified clients who actually fit their specialty. Given your focus on startup founders and early employees, I thought this could be interesting for you.

Here's how it works: our AI matches advisors with clients based on specific needs and advisor expertise – so you only see leads that truly align with your practice. You only pay a 20% success fee when you actually close a client. No upfront costs, no wasted time on poor-fit prospects.

We're launching with 10 select advisors in the SF area this week, and your startup niche would be a perfect addition to our network. The timing feels right given how many tech employees are dealing with recent liquidity events and looking for specialized guidance.

Would you be open to a quick 15-minute call this week to explore if this could work for your practice? You can learn more here: http://198.54.123.234:8401/providers.html

Looking forward to connecting,
James",10/10
James Wilson,Certified Financial Planner,Embarcadero Advisors,https://www.linkedin.com/search/results/people/?keywords=James%20Wilson%20Embarcadero Advisors,Hi James - Built AI matching for CFPs in retirement planning. Helping SF advisors connect with pre-qualified prospects. Worth a quick chat?,139,"Hi James,

Thanks for connecting! I noticed your focus on retirement income planning and your credentials – the ChFC designation especially shows your commitment to helping clients navigate complex retirement decisions.

I wanted to reach out because we're launching I MATCH this week with 10 San Francisco advisors, and your specialty in secure retirement planning seems like a perfect fit for what we're building.

Here's the quick version: we use AI to match clients with advisors based on their actual needs and preferences – not just zip codes. For retirement-focused planners like you, this means connecting with clients who are specifically looking for expertise in retirement income strategies, not just general financial planning.

The model is simple: 20% success fee only when you close a client. No upfront costs, no monthly subscriptions. Our AI handles the matching quality, so you're spending time with prospects who are already a good fit for your practice.

Since we're keeping this initial group small and focused on the Bay Area, I wanted to see if you'd be open to a quick 15-minute call this week to walk through how it works?

You can see more details here: http://198.54.123.234:8401/providers.html

Would Thursday or Friday work for a brief call?

Best,
James",10/10
Amanda Martinez,Wealth Management Advisor,SF Bay Advisors,https://www.linkedin.com/search/results/people/?keywords=Amanda%20Martinez%20SF Bay Advisors,Hi Amanda - Building AI matching for advisors in socially responsible investing. Connects you with pre-qualified prospects who share your values. Worth a quick chat?,165,"Hi Amanda,

Thanks for connecting! I noticed your ESG investment expertise and CFA credentials – there's such growing demand for advisors who truly understand socially responsible investing, and it's clear you've built real expertise in this space.

I'm reaching out because we're launching I MATCH this week with 10 financial advisors in SF, and I think you'd be a great fit. We use AI to connect advisors with prospects who actually match their specialty – so in your case, clients specifically seeking ESG-focused wealth management rather than generic leads.

Here's what makes us different: our AI analyzes both client needs and advisor strengths to create quality matches (not just lead dumps), and we only charge a 20% success fee when you actually close a client. No upfront costs, no wasted time on mismatched prospects.

Given your socially responsible investing focus, I think our matching technology could connect you with clients who are actively looking for exactly what you offer. We're intentionally keeping our SF launch small to ensure quality.

Would you be open to a quick 15-minute call this week to see if it's a fit? You can learn more here: http://198.54.123.234:8401/providers.html

Looking forward to hearing from you.

Best,
James",10/10
Robert Chang,Senior Financial Advisor,Presidio Financial Services,https://www.linkedin.com/search/results/people/?keywords=Robert%20Chang%20Presidio Financial Services,Hi Robert - Building AI lead matching for exit planning advisors in SF. Helping match you with business owners ready to plan their transition. Worth a quick chat?,162,"Hi Robert,

Thanks for connecting! I was impressed reading about your work in business owner exit planning – helping 50+ entrepreneurs successfully transition is no small feat. That's such a specialized skill set.

I wanted to reach out because I think I MATCH could be a great fit for your practice. We're using AI to match business owners who need exit planning expertise with advisors like you – essentially pre-qualifying leads so you're only talking to people who actually need what you specialize in.

Here's what makes us different: we only take a 20% success fee when you close a client (no upfront costs), and our matching algorithm focuses on quality over quantity. We're looking at factors like business type, timeline, complexity – the stuff that actually matters for a good advisor-client fit.

We're launching with just 10 advisors in SF this week to refine our platform before scaling. Given your exit planning niche, I think you'd be perfect for our pilot group.

Would you be open to a quick 15-minute call this week to see if it makes sense? You can also check out more details here: http://198.54.123.234:8401/providers.html

Either way, looking forward to staying connected.

Best,
James",10/10
Emily Anderson,Financial Planner,Mission District Financial,https://www.linkedin.com/search/results/people/?keywords=Emily%20Anderson%20Mission District Financial,Hi Emily - Building AI matching for advisors specializing in women & wealth. Helping planners like you connect with ideal-fit prospects in SF. Worth a quick chat?,162,"Hi Emily,

Thanks for connecting! I was impressed to see your CDFA certification and focus on women and wealth management – there's such a need for advisors who truly understand the unique financial planning challenges women face, especially around life transitions.

I'm reaching out because we're launching I MATCH this week with 10 financial advisors in San Francisco. We use AI to match clients with the right advisor based on their specific needs and values – so instead of random leads, you'd only get prospects who are genuinely aligned with your expertise in women's financial independence.

What makes us different: we only charge a 20% success fee when a client converts (no upfront costs), and our AI pre-qualifies leads so you're not wasting time on tire-kickers. Given your specialty in women and wealth management, I think you'd see really strong conversion rates with our matching algorithm.

We're intentionally keeping this first cohort small to ensure quality, but I'd love to get you on board if you're open to better-fit client relationships without the usual lead generation headaches.

Would you be open to a quick 15-minute call this week? Or feel free to check out how it works here: http://198.54.123.234:8401/providers.html

Looking forward to connecting,
James",10/10
Kevin Nguyen,Investment Advisor,Nob Hill Wealth,https://www.linkedin.com/search/results/people/?keywords=Kevin%20Nguyen%20Nob Hill Wealth,Hi Kevin - Building AI that matches SF advisors specializing in portfolio diversification with pre-qualified leads. Worth a quick chat about better client fit?,159,"Hey Kevin,

Thanks for connecting! I was impressed seeing your background as a former institutional trader – that perspective must give you a real edge when it comes to portfolio diversification strategies for your clients at Nob Hill Wealth.

I wanted to reach out because we're launching I MATCH this week, and I think it could be a strong fit for someone with your expertise. We use AI to match financial advisors with clients who actually need their specific skill set – no more cold leads or wasted time on prospects who aren't the right fit.

The model is pretty straightforward: we only charge a 20% success fee when you close a client, so there's zero upfront risk. Our AI filters for prospects who need exactly what you offer, which means higher-quality conversations from day one.

We're rolling this out with just 10 advisors in SF this week to fine-tune everything before going broader. Given your CFA credentials and institutional background, I think you'd be perfect for our initial group.

Would you be open to a quick 15-minute call this week to see if it makes sense? You can also check out more details here: http://198.54.123.234:8401/providers.html

Looking forward to hearing your thoughts.

Best,
James",10/10
